('nr', 'vn', 'ns'),1
('vn', 'ns', 'vn'),1
('ns', 'vn', 'v'),1
('vn', 'v', 'q'),1
('n', 'l', 'm'),1
('l', 'm', 'n'),1
('a', 'v', 's'),1
('s', 'r', 'v'),1
('r', 'v', 'ns'),1
('n', 'd', 'ns'),1
('d', 'ns', 'v'),1
('s', 'ns', 'nr'),1
('d', 'n', 't'),1
('t', 'n', 'r'),1
('m', 'nr', 't'),1
('nr', 't', 'm'),1
('t', 'm', 'ns'),1
('m', 'ns', 'n'),1
('m', 'nr', 'c'),1
('c', 'v', 'nr'),1
('l', 'nr', 'v'),1
('f', 'd', 'l'),1
('d', 'l', 'vg'),1
('l', 'vg', 'm'),1
('vg', 'm', 'n'),1
('l', 'nr', 'c'),1
('n', 'nr', 'ns'),1
