('a', 'nr', 'f'),4
('m', 'c', 'v'),4
('n', 'zg', 'm'),4
('q', 'v', 'd'),4
('n', 'm', 'ns'),4
('i', 'n', 'f'),4
('mq', 'v', 'n'),4
('c', 'v', 'nr'),4
('u', 'v', 'v'),4
('d', 'nr', 'r'),4
('f', 'l', 'v'),4
('f', 'd', 'm'),4
('v', 'vn', 'a'),4
('t', 'f', 'n'),4
('t', 'v', 'ns'),4
('a', 'v', 'ns'),4
('v', 'o', 'v'),4
('o', 'v', 'v'),4
('d', 'i', 'nr'),4
('m', 'v', 'l'),4
('p', 'n', 'v'),4
('a', 't', 'v'),4
('n', 'u', 'n'),4
('v', 'n', 'mq'),4
('v', 'v', 'o'),4
('v', 'o', 'n'),4
('v', 'd', 'f'),4
('vg', 'n', 'a'),4
('d', 'r', 'n'),4
('a', 'n', 'nz'),4
('a', 'l', 'v'),4
('j', 'v', 'v'),4
('l', 'r', 'n'),4
('f', 's', 'd'),4
('s', 'd', 'a'),4
('n', 'm', 'i'),4
('l', 'v', 'l'),4
('nr', 'm', 'm'),4
('b', 'a', 'n'),4
('v', 'c', 'r'),4
('c', 'r', 'v'),4
('v', 'zg', 'n'),4
('zg', 'm', 'n'),4
('s', 'l', 'n'),4
('v', 'v', 'nrt'),4
('v', 'm', 'z'),4
('n', 'q', 'm'),4
('ns', 'n', 's'),4
('i', 'nr', 'v'),4
('ng', 'n', 'ng'),4
('t', 'v', 's'),4
('m', 'q', 'v'),4
('nr', 'd', 'nr'),4
('c', 'nr', 'n'),4
('v', 'm', 'q'),4
('a', 'f', 'm'),4
('v', 'n', 'nrt'),4
('a', 'z', 'n'),4
('v', 'nr', 'z'),4
('nr', 'z', 'v'),4
('o', 'n', 'n'),4
('d', 'a', 'ns'),4
('m', 'i', 'v'),4
('nr', 'r', 'v'),4
('n', 's', 'i'),4
('a', 'n', 'r'),4
('q', 'f', 'v'),4
('f', 'n', 'ng'),4
('ns', 'r', 'v'),4
('v', 'ng', 'a'),4
('a', 'm', 'd'),4
('v', 'ns', 't'),4
('m', 'v', 'i'),4
('a', 'v', 'l'),4
('c', 'nr', 'v'),4
('q', 'nr', 'n'),4
('v', 'l', 'a'),4
('m', 'd', 'm'),4
('n', 'c', 'm'),4
('s', 'd', 'd'),4
('v', 'r', 'f'),4
('a', 'r', 'v'),4
('f', 't', 'n'),4
('q', 'n', 'a'),4
('t', 'f', 'v'),4
('v', 'a', 'vn'),4
('ad', 'n', 'v'),4
('m', 'v', 'q'),4
('nrt', 'a', 'n'),4
('d', 'n', 'vn'),4
('j', 'v', 'n'),4
('n', 'nz', 'm'),4
('r', 'nr', 'v'),4
('f', 'v', 't'),4
('v', 's', 'z'),4
('nrfg', 'nr', 'v'),4
