('mq', 'n', 'v'),3
('v', 'nr', 'i'),3
('a', 'n', 'r'),3
('ng', 'q', 'f'),3
('n', 'i', 'd'),3
('v', 'm', 'q'),3
('t', 'l', 'v'),3
('s', 'r', 'v'),3
('ng', 'f', 'm'),3
('d', 'd', 'd'),3
('ns', 'ns', 'd'),3
('ns', 'd', 'n'),3
('n', 'nz', 'nz'),3
('f', 'n', 'c'),3
('s', 's', 'n'),3
('z', 'v', 'd'),3
('i', 'n', 'm'),3
('a', 'i', 'v'),3
('t', 'a', 'q'),3
('a', 'd', 'a'),3
('n', 'f', 'c'),3
('s', 'd', 'n'),3
('v', 'ns', 's'),3
('n', 'c', 'a'),3
('v', 'ns', 't'),3
('n', 'ns', 'a'),3
('ng', 'v', 'm'),3
('v', 'm', 'z'),3
('i', 'n', 'a'),3
('b', 'n', 'nr'),3
('b', 'v', 'm'),3
('nr', 'q', 'a'),3
('m', 'a', 'ng'),3
('c', 'd', 'n'),3
('v', 'n', 'nz'),3
('v', 'j', 'n'),3
('t', 'n', 's'),3
('d', 'n', 'c'),3
('n', 'n', 'zg'),3
('a', 'r', 'm'),3
('n', 'v', 'zg'),3
('a', 'n', 'vn'),3
('q', 'l', 'nr'),3
('l', 'n', 's'),3
('vn', 'v', 'f'),3
('d', 'r', 'n'),3
('nr', 'n', 'r'),3
('m', 'n', 'nz'),3
('n', 'v', 'vg'),3
('c', 'n', 'd'),3
('b', 'n', 'f'),3
('m', 'nz', 'v'),3
('j', 'n', 'v'),3
('nr', 'v', 'r'),3
('r', 't', 'm'),3
('v', 's', 't'),3
('ns', 'd', 'd'),3
('v', 'm', 'i'),3
('n', 'l', 's'),3
('i', 't', 'n'),3
('v', 'c', 'ns'),3
('nr', 'ns', 'ns'),3
('a', 'd', 'd'),3
('s', 'd', 'm'),3
('b', 'v', 'a'),3
('d', 'v', 'df'),3
('n', 'a', 'l'),3
('nr', 'i', 'n'),3
('v', 'ag', 'n'),3
('n', 'n', 'vg'),3
('d', 'nr', 'nr'),3
('f', 'r', 'v'),3
('r', 'r', 'v'),3
('nr', 'nr', 'f'),3
('v', 'q', 'm'),3
('t', 'n', 'ns'),3
('n', 'ns', 't'),3
('a', 'nr', 'c'),3
('q', 'f', 'm'),3
('m', 'nr', 'ng'),3
('q', 'n', 'd'),3
('n', 'b', 'nr'),3
('f', 'm', 'd'),3
('f', 'a', 'd'),3
('ns', 'v', 'ns'),3
('r', 'v', 'a'),3
('d', 'd', 'm'),3
('j', 'd', 'v'),3
('nr', 'ng', 'v'),3
('a', 'n', 'zg'),3
