('c', 'nr', 'v'),7
('n', 'r', 'd'),7
('v', 'v', 'df'),7
('r', 'd', 'n'),6
('f', 'v', 'l'),6
('o', 'v', 'n'),6
('v', 'v', 'zg'),6
('n', 'f', 'ns'),6
('ns', 'n', 'ns'),6
('n', 'ns', 'm'),6
('ns', 'm', 'n'),6
('n', 'm', 'nz'),6
('nz', 'm', 'n'),6
('t', 'm', 'm'),6
('n', 'v', 'ng'),6
('i', 'v', 't'),6
('ns', 'v', 'f'),6
('v', 'ns', 'ns'),6
('n', 's', 'f'),6
('v', 'l', 's'),6
('f', 'l', 'n'),6
('d', 'b', 'v'),6
('v', 'b', 'b'),6
('nr', 's', 'a'),6
('vn', 'v', 'vn'),6
('n', 'm', 'r'),6
('n', 'c', 'l'),6
('r', 'v', 'ns'),6
('v', 's', 'r'),6
('s', 'r', 'v'),6
('n', 'c', 'd'),6
('nr', 't', 'd'),6
('t', 'v', 'f'),6
('d', 'vn', 'nr'),6
('zg', 'm', 'n'),6
('a', 'nr', 'm'),6
('d', 'a', 'm'),6
('d', 'n', 'l'),6
('v', 't', 'l'),6
('v', 'ns', 'l'),6
('l', 'n', 'r'),6
('nt', 'n', 'v'),6
('l', 'i', 'v'),6
('nr', 'nr', 'l'),6
('v', 'j', 'n'),6
('m', 'r', 'n'),6
('v', 'l', 'vn'),6
('d', 'ns', 'v'),6
('z', 'd', 'v'),6
('s', 'v', 'q'),6
('z', 'm', 'v'),6
('n', 'i', 'd'),6
('v', 'nr', 'vn'),6
('v', 'a', 'i'),6
