('m', 'm', 'nr'),2
('s', 'n', 'b'),2
('b', 'd', 'v'),2
('v', 'nz', 'vn'),2
('t', 'v', 'c'),2
('n', 'm', 'i'),2
('m', 'i', 'v'),2
('i', 'v', 'f'),2
('ad', 'n', 'm'),2
('t', 't', 'n'),2
('d', 'v', 'z'),2
('a', 'v', 'ng'),2
('nr', 'z', 'm'),2
('m', 'v', 'r'),2
('vg', 'n', 'v'),2
('ad', 'v', 'm'),2
('n', 'c', 'd'),2
('a', 'v', 's'),2
('d', 't', 'a'),2
('a', 'd', 'm'),2
('n', 'd', 'o'),2
('d', 'o', 'v'),2
('o', 'v', 'a'),2
('ns', 'n', 'ns'),2
('n', 'v', 'z'),2
('nz', 'v', 'nz'),2
('ad', 'ad', 'v'),2
('d', 'a', 's'),2
('a', 'l', 'n'),2
('q', 'v', 'd'),2
('f', 'v', 'r'),2
('r', 'm', 'n'),2
('nr', 'a', 'a'),2
('d', 'd', 'r'),2
('q', 'm', 'n'),2
('ns', 'ng', 'v'),2
('vn', 'd', 'd'),2
('v', 'nr', 'df'),2
('m', 'r', 'a'),2
('ad', 'v', 'a'),2
('a', 'v', 'q'),2
('s', 'v', 'd'),2
('n', 'v', 'mq'),2
('a', 'v', 'r'),2
('v', 'n', 'an'),2
('n', 'an', 'n'),2
('d', 'm', 'nr'),2
('v', 'n', 'df'),2
('nr', 'a', 'l'),2
('b', 'c', 'n'),2
