('i', 'a', 'a'),3
('n', 'b', 'v'),3
('v', 'j', 'v'),3
('nr', 't', 'v'),3
('r', 'nr', 'v'),3
('m', 'n', 'c'),3
('nrt', 'v', 'd'),3
('v', 'r', 'nr'),3
('v', 's', 't'),3
('m', 'a', 'a'),3
('v', 'f', 'z'),2
('ns', 'c', 'ns'),2
('c', 'd', 'c'),2
('d', 'nr', 'nr'),2
('ns', 'nr', 'd'),2
('n', 'l', 'nr'),2
('z', 'n', 's'),2
('n', 'd', 'vn'),2
('m', 'n', 'nz'),2
('vn', 'vn', 'v'),2
('s', 'nr', 'nr'),2
('r', 's', 'v'),2
('n', 'z', 'm'),2
('q', 'n', 's'),2
('n', 'ns', 'm'),2
('n', 'a', 'r'),2
('ns', 'ng', 'n'),2
('ng', 'n', 'a'),2
('v', 'n', 'nz'),2
('n', 'd', 'nz'),2
('d', 'nz', 'n'),2
('m', 'n', 'i'),2
('n', 's', 'c'),2
('c', 'n', 't'),2
('m', 't', 'd'),2
('n', 'u', 'd'),2
('q', 'n', 'nr'),2
('n', 'ns', 'd'),2
('d', 'v', 'df'),2
('t', 't', 'd'),2
('nr', 'v', 'l'),2
('l', 'n', 'm'),2
('f', 'n', 's'),2
('n', 'v', 'z'),2
('n', 'd', 'q'),2
('nr', 'nr', 'ns'),2
('nr', 'ns', 'v'),2
('s', 'f', 'v'),2
('v', 'b', 'nr'),2
('n', 'nr', 'r'),2
('m', 'v', 'mq'),2
('v', 'u', 'm'),2
('m', 'nr', 'r'),2
('r', 'l', 'v'),2
('nr', 'v', 'z'),2
('b', 'nr', 'a'),2
('nr', 'j', 'a'),2
('j', 'a', 'a'),2
('a', 'n', 'zg'),2
('n', 'zg', 'v'),2
('l', 'nr', 't'),2
('d', 'n', 'i'),2
('n', 'i', 'nr'),2
('i', 'nr', 'v'),2
('n', 'v', 'rz'),2
('nr', 'n', 's'),2
('m', 'n', 'q'),2
('v', 'b', 'd'),2
('nr', 'm', 'ns'),2
('f', 'v', 'z'),2
('r', 'v', 'r'),2
('l', 'n', 'f'),2
('f', 'i', 'v'),2
('f', 'n', 'l'),2
('a', 'b', 'n'),2
('i', 'd', 'd'),2
('t', 'v', 'nrt'),2
('f', 'v', 'ns'),2
('a', 'v', 'l'),2
('nr', 'n', 'l'),2
('vn', 'a', 'v'),2
('v', 'vn', 'f'),2
('vn', 'f', 'n'),2
('v', 'a', 'ns'),2
('nrt', 'v', 'ns'),2
('d', 'r', 'ns'),2
('n', 'nz', 'n'),2
('a', 'm', 'nr'),2
('v', 'c', 'm'),2
('m', 't', 'a'),2
('vn', 'r', 'n'),2
('nr', 's', 'vn'),2
('vn', 'v', 'nr'),2
('nr', 'z', 'm'),2
('m', 'n', 'z'),2
('nz', 'v', 'a'),2
('a', 'a', 'zg'),2
('q', 'a', 'v'),2
('n', 'a', 's'),2
('n', 'z', 'a'),2
('f', 'm', 'm'),2
('c', 'n', 'nr'),2
